Contestant,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24
Flower,4,,,,,,,4,,,,,,,,,,,,205,312,,524,
Leafy,,,,,,,,,3,,,,,20,,10,2,,,,69,,125,228
Firey,,1,,,1,,,,,3,9,,,29,,,,64,,,64,,86,414
Spongy,,4,,,,,,4,,,,,,,,28,,141,142,,,432,,
Rocky,,,,,,,,,,15,,11,49,,92,43,,,,,319,,,
David,,,,,,,,,,,,,,39,,,102,,331,41,,287,,
Bubble,,,,,1,,,,,,,4,,,23,7,,,,,80,97,,228
Pencil,,,,,,,,,,,,,,,,38,,259,,60,,,,
Pen,,1,,,3,,,,,,,,,,144,,,,,32,,,,
Tear Drop,,,,,,,,,5,,,,,,,,,,,148,,,,
Blocky,,2,6,1,,,,7,2,,,,,,,112,,,,24,,,,
Eraser,,,,,2,,,,,,,,,99,,,,,,32,,,,
Ice Cube,,,,,,1,,,1,,,,9,33,,5,1,,72,,,,,
Tennis Ball,1,,,,,,,,,2,22,18,34,,,45,2,,,41,,,,
Coiny,,,,,,5,,,,5,30,,,,,,,,,78,,,,
Needle,,,,,,12,,8,,,,,,,,,,,,103,,,,
Match,,1,1,1,1,,,,,,,,66,,,,,,,35,,,,
Snowball,,,,9,,,,,18,,,47,,,,,,,,8,,,,
Woody,,3,4,,,,,1,,,,,,,,,,,,29,,,,
Pin,,,1,3,4,,,4,,,,,,,,,,,,13,,,,
Golf Ball,1,,,,,,,,,12,,,,,,,,,,13,,,,
Rec. Chars.,,,,,,,,,,,,,,,,,348,,,,,,,
